TIME,value
2019/4/3 13:38,6.61
2019/4/3 14:34,6.76
2019/4/3 15:04,6.7
2019/4/3 15:34,6.68
2019/4/3 16:04,6.7
2019/4/3 16:34,6.69
2019/4/3 17:04,6.68
2019/4/3 18:04,6.59
2019/4/3 18:34,6.54
2019/4/3 19:04,6.47
2019/4/3 19:34,6.4
2019/4/3 20:04,6.34
2019/4/3 20:34,6.25
2019/4/3 21:04,6.19
2019/4/3 21:34,6.1
2019/4/3 22:04,6.08
2019/4/3 22:34,6.01
2019/4/3 23:04,5.99
2019/4/3 23:34,5.93
2019/4/4 0:04,5.94
2019/4/4 0:34,5.91
2019/4/4 1:04,5.9
2019/4/4 1:34,5.86
2019/4/4 2:04,5.89
2019/4/4 2:34,5.81
2019/4/4 3:04,5.82
2019/4/4 3:34,5.75
2019/4/4 4:04,5.78
2019/4/4 4:34,5.72
2019/4/4 5:04,5.75
2019/4/4 5:34,5.71
2019/4/4 6:04,5.74
2019/4/4 6:34,5.71
2019/4/4 7:04,5.76
2019/4/4 7:34,5.74
2019/4/4 8:04,5.84
2019/4/4 8:34,5.96
2019/4/4 9:04,6.1
2019/4/4 9:34,6.14
2019/4/4 10:04,6.29
2019/4/4 10:34,6.35
2019/4/4 11:04,6.47
2019/4/4 11:34,6.49
2019/4/4 12:04,6.59
2019/4/4 12:34,6.61
2019/4/4 13:04,6.66
2019/4/4 13:44,6.81
2019/4/4 14:14,6.77
2019/4/4 14:44,6.86
2019/4/4 15:14,6.73
2019/4/4 15:44,6.73
2019/4/4 16:14,6.67
2019/4/4 16:44,6.63
2019/4/4 17:14,6.59
2019/4/4 17:44,6.51
2019/4/4 18:14,6.43
2019/4/4 18:44,6.35
2019/4/4 19:14,6.26
2019/4/4 19:44,6.2
2019/4/4 20:14,6.18
2019/4/4 20:44,6.1
2019/4/4 21:14,6.03
2019/4/4 21:44,5.93
2019/4/4 22:14,5.88
2019/4/4 22:44,5.83
2019/4/4 23:14,5.81
2019/4/4 23:44,5.77
2019/4/5 0:14,5.75
2019/4/5 0:44,5.72
2019/4/5 1:14,5.74
2019/4/5 1:44,5.7
2019/4/5 2:14,5.7
2019/4/5 2:44,5.66
2019/4/5 3:14,5.67
2019/4/5 3:44,5.62
2019/4/5 4:14,5.66
2019/4/5 4:44,5.63
2019/4/5 5:14,5.64
2019/4/5 5:44,5.6
2019/4/5 6:14,5.63
2019/4/5 6:44,5.58
2019/4/5 7:14,5.68
2019/4/5 7:44,5.71
2019/4/5 8:14,5.83
2019/4/5 8:44,5.88
2019/4/5 9:14,6.01
2019/4/5 9:44,6.05
2019/4/5 10:14,6.2
2019/4/5 10:44,6.09
2019/4/5 11:14,6.33
2019/4/5 11:44,6.45
2019/4/5 12:14,6.53
2019/4/5 12:44,6.62
2019/4/5 13:14,6.67
2019/4/5 13:44,6.8
2019/4/5 14:14,6.86
2019/4/5 14:44,6.77
2019/4/5 15:14,6.8
2019/4/5 15:44,6.82
2019/4/5 16:14,6.86
2019/4/5 16:44,6.8
2019/4/5 17:14,6.76
2019/4/5 17:44,6.67
2019/4/5 18:14,6.62
2019/4/5 18:44,6.5
2019/4/5 19:14,6.46
2019/4/5 19:44,6.32
2019/4/5 20:14,6.26
2019/4/5 20:44,6.14
2019/4/5 21:14,6.11
2019/4/5 21:44,6.01
2019/4/5 22:14,5.98
2019/4/5 22:44,5.91
2019/4/5 23:14,5.9
2019/4/5 23:44,5.83
2019/4/6 0:14,5.84
2019/4/6 0:44,5.77
2019/4/6 1:14,5.78
2019/4/6 1:44,5.74
2019/4/6 2:14,5.76
2019/4/6 2:44,5.71
2019/4/6 3:14,5.73
2019/4/6 3:44,5.69
2019/4/6 4:14,5.71
2019/4/6 4:44,5.67
2019/4/6 5:14,5.69
2019/4/6 5:44,5.66
2019/4/6 6:14,5.71
2019/4/6 6:44,5.69
2019/4/6 7:14,5.83
2019/4/6 7:44,5.89
2019/4/6 8:14,6.05
2019/4/6 8:44,6.22
2019/4/6 9:14,6.35
2019/4/6 9:44,6.45
2019/4/6 10:14,6.56
2019/4/6 10:44,6.73
2019/4/6 11:14,6.75
2019/4/6 11:44,7.06
2019/4/6 12:14,6.86
2019/4/6 12:44,7.4
2019/4/6 13:14,7.07
2019/4/6 13:44,7.24
2019/4/6 14:14,7.04
2019/4/6 14:44,7.07
2019/4/6 15:14,6.95
2019/4/6 15:44,6.93
2019/4/6 16:14,6.81
2019/4/6 16:44,6.73
2019/4/6 17:14,6.65
2019/4/6 17:44,6.51
2019/4/6 18:14,6.44
2019/4/6 18:44,6.32
2019/4/6 19:14,6.27
2019/4/6 19:44,6.15
2019/4/6 20:14,6.12
2019/4/6 20:44,6.04
2019/4/6 21:14,6.03
2019/4/6 21:44,5.95
2019/4/6 22:14,5.89
2019/4/6 22:44,5.78
2019/4/6 23:14,5.81
2019/4/6 23:44,5.74
2019/4/7 0:14,5.73
2019/4/7 0:44,5.67
2019/4/7 1:14,5.66
2019/4/7 1:44,5.6
2019/4/7 2:14,5.61
2019/4/7 2:44,5.57
2019/4/7 3:14,5.58
2019/4/7 3:44,5.51
2019/4/7 4:14,5.56
2019/4/7 4:44,5.5
2019/4/7 5:14,5.52
2019/4/7 5:44,5.49
2019/4/7 6:14,5.53
2019/4/7 6:44,5.58
2019/4/7 7:14,5.72
2019/4/7 7:44,5.9
2019/4/7 8:14,5.99
2019/4/7 8:44,6.2
2019/4/7 9:14,6.34
2019/4/7 9:44,6.35
2019/4/7 10:14,6.41
2019/4/7 10:44,6.65
2019/4/7 11:14,6.7
2019/4/7 11:44,6.86
2019/4/7 12:14,6.8
2019/4/7 12:44,6.76
2019/4/7 13:14,6.88
2019/4/7 13:44,7.37
2019/4/7 14:14,7.22
2019/4/7 14:44,7.97
2019/4/7 15:14,7.33
2019/4/7 15:44,8.1
2019/4/7 16:14,6.93
2019/4/7 16:44,7.16
2019/4/7 17:14,6.88
2019/4/7 17:44,6.76
2019/4/7 18:14,6.66
2019/4/7 18:44,6.52
2019/4/7 19:14,6.47
2019/4/7 19:44,6.3
2019/4/7 20:14,6.26
2019/4/7 20:44,6.14
2019/4/7 21:14,6.11
2019/4/7 21:44,6
2019/4/7 22:14,5.97
2019/4/7 22:44,5.87
2019/4/7 23:14,5.86
2019/4/7 23:44,5.8
2019/4/8 0:14,5.8
2019/4/8 0:44,5.73
2019/4/8 1:14,5.75
2019/4/8 1:44,5.7
2019/4/8 2:14,5.68
2019/4/8 2:44,5.66
2019/4/8 3:14,5.67
2019/4/8 3:44,5.62
2019/4/8 4:14,5.64
2019/4/8 5:14,5.62
2019/4/8 5:44,5.59
2019/4/8 6:14,5.67
2019/4/8 6:44,5.7
2019/4/8 7:14,5.8
2019/4/8 7:44,5.93
2019/4/8 8:14,6.01
2019/4/8 8:44,6.14
2019/4/8 9:14,6.17
2019/4/8 9:44,6.22
2019/4/8 10:14,6.22
2019/4/8 10:44,6.36
2019/4/8 11:14,6.36
2019/4/8 11:44,6.57
2019/4/8 12:14,6.6
2019/4/8 12:44,6.73
2019/4/8 13:14,6.71
2019/4/8 13:44,7.22
2019/4/8 14:14,7.05
2019/4/8 14:44,8.4
2019/4/8 15:14,7.12
2019/4/8 15:44,8.05
2019/4/8 16:14,6.87
2019/4/8 16:44,6.81
2019/4/8 17:14,6.71
2019/4/8 17:44,6.49
2019/4/8 18:14,6.57
2019/4/8 18:44,6.42
2019/4/8 19:14,6.39
2019/4/8 19:44,6.2
2019/4/8 20:14,6.24
2019/4/8 20:44,6.08
2019/4/8 21:14,6.07
2019/4/8 21:44,5.89
2019/4/8 22:14,5.97
2019/4/8 22:44,5.83
2019/4/8 23:14,5.89
2019/4/8 23:44,5.77
2019/4/9 0:14,5.82
2019/4/9 0:44,5.67
2019/4/9 1:14,5.76
2019/4/9 1:44,5.67
2019/4/9 2:14,5.75
2019/4/9 2:44,5.65
2019/4/9 3:14,5.72
2019/4/9 3:44,5.62
2019/4/9 4:14,5.71
2019/4/9 4:44,5.62
2019/4/9 5:14,5.67
2019/4/9 5:44,5.62
2019/4/9 6:14,5.72
2019/4/9 6:44,5.75
2019/4/9 8:04,6
2019/4/9 8:34,6.08
2019/4/9 9:04,6.23
2019/4/9 9:34,6.31
2019/4/9 10:04,6.43
2019/4/9 10:34,6.52
2019/4/9 11:04,6.59
2019/4/9 11:34,6.67
2019/4/9 12:04,6.63
2019/4/9 12:34,6.7
2019/4/9 13:46,6.7
2019/4/9 14:16,6.78
2019/4/9 14:46,6.73
2019/4/9 15:16,6.83
2019/4/9 15:46,6.66
2019/4/9 16:16,6.74
2019/4/9 16:46,6.7
2019/4/9 17:16,6.73
2019/4/9 17:46,6.68
2019/4/9 18:16,6.66
2019/4/9 18:46,6.62
2019/4/9 19:16,6.58
2019/4/9 19:46,6.49
2019/4/9 20:16,6.45
2019/4/9 20:46,6.38
2019/4/9 21:16,6.36
2019/4/9 21:46,6.3
2019/4/9 22:16,6.3
2019/4/9 22:46,6.25
2019/4/9 23:16,6.24
2019/4/9 23:46,6.19
