TIME,value
2013/5/2 7:00,20.06
2013/5/2 8:00,20.06
2013/5/2 10:00,20.13
2013/5/2 12:00,20.27
2013/5/2 14:00,20.54
2013/5/2 15:00,20.61
2013/5/2 16:00,20.75
2013/5/2 18:00,20.96
2013/5/2 20:00,20.34
2013/5/2 21:00,20.34
2013/5/2 23:00,20.68
2013/5/3 0:00,20.82
2013/5/3 2:00,20.68
2013/5/3 4:00,20.54
2013/5/3 6:00,20.41
2013/5/3 7:00,20.34
2013/5/3 8:00,20.2
2013/5/3 10:00,20.27
2013/5/3 11:00,20.27
2013/5/3 12:00,20.27
2013/5/3 14:00,20.41
2013/5/3 15:00,20.41
2013/5/3 16:00,20.41
2013/5/3 18:00,20.41
2013/5/3 19:00,20.27
2013/5/3 20:00,20.41
2013/5/3 21:00,20.61
2013/5/3 23:00,21.16
2013/5/4 0:00,21.1
2013/5/4 2:00,21.44
2013/5/4 3:00,21.58
2013/5/4 4:00,21.58
2013/5/4 6:00,21.51
2013/5/4 7:00,21.44
2013/5/4 8:00,21.37
2013/5/4 10:00,21.37
2013/5/4 12:00,21.37
2013/5/4 14:00,21.37
2013/5/4 15:00,21.3
2013/5/4 16:00,21.16
2013/5/4 18:00,21.03
2013/5/4 19:00,20.96
2013/5/4 20:00,20.96
2013/5/4 22:00,20.82
2013/5/5 0:00,20.89
2013/5/5 2:00,21.1
2013/5/5 3:00,21.16
2013/5/5 4:00,21.16
2013/5/5 6:00,21.16
2013/5/5 7:00,21.16
2013/5/5 8:00,21.23
2013/5/5 10:00,21.37
2013/5/5 12:00,21.58
2013/5/5 14:00,21.79
2013/5/5 15:00,21.79
2013/5/5 16:00,21.72
2013/5/5 18:00,21.58
2013/5/5 20:00,21.79
2013/5/5 22:00,21.79
2013/5/5 23:00,21.72
2013/5/6 0:00,21.72
2013/5/6 2:00,21.86
2013/5/6 3:00,22.06
2013/5/6 4:00,22.13
2013/5/6 6:00,22.2
2013/5/6 7:00,22.2
2013/5/6 8:00,22.2
2013/5/6 10:00,22.34
2013/5/6 11:00,22.34
