TIME,value
2014/8/25 3:00,21.8
2014/8/25 4:00,21.7
2014/8/25 4:30,21.7
2014/8/25 5:00,21.7
2014/8/25 5:30,21.7
2014/8/25 6:00,21.6
2014/8/25 6:30,21.6
2014/8/25 7:00,21.6
2014/8/25 7:30,21.6
2014/8/25 9:00,21.6
2014/8/25 9:30,21.6
2014/8/25 10:00,21.6
2014/8/25 10:30,21.5
2014/8/25 12:00,21.6
2014/8/25 12:30,21.6
2014/8/25 13:30,21.6
2014/8/25 16:30,21.6
2014/8/25 17:00,21.7
2014/8/25 17:30,21.7
2014/8/25 18:00,21.8
2014/8/25 18:30,21.8
2014/8/25 19:00,22
2014/8/25 19:30,21.9
2014/8/25 20:00,22
2014/8/25 20:30,22.1
2014/8/25 21:00,22.2
2014/8/25 21:30,22.2
2014/8/25 22:30,22.2
2014/8/25 23:00,22.3
2014/8/25 23:30,22.3
2014/8/26 0:00,22.2
2014/8/26 0:30,22.2
2014/8/26 1:00,22.2
2014/8/26 1:30,22.2
2014/8/26 2:00,22.1
2014/8/26 2:30,22.1
2014/8/26 3:00,22.1
2014/8/26 3:30,22.1
2014/8/26 4:00,22.1
2014/8/26 4:30,22
2014/8/26 5:00,22
2014/8/26 5:30,22
2014/8/26 6:30,22
2014/8/26 7:00,21.9
2014/8/26 7:30,21.9
2014/8/26 8:00,21.9
2014/8/26 8:30,21.9
2014/8/26 9:00,21.9
2014/8/26 9:30,21.9
2014/8/26 10:00,21.9
2014/8/26 10:30,21.8
2014/8/26 11:00,21.8
2014/8/26 12:00,21.7
2014/8/26 12:30,21.6
2014/8/26 14:00,21.6
2014/8/26 14:30,21.6
2014/8/26 15:00,21.6
2014/8/26 15:30,21.7
2014/8/26 16:00,21.7
2014/8/26 16:30,21.8
2014/8/26 17:00,21.8
2014/8/26 17:30,21.9
2014/8/26 18:00,22
2014/8/26 18:30,22.1
2014/8/26 19:00,22.2
2014/8/26 19:30,22.2
2014/8/26 20:00,22.2
2014/8/26 20:30,22.3
2014/8/26 21:00,22.5
2014/8/26 21:30,22.5
2014/8/26 22:30,22.6
2014/8/26 23:00,22.7
2014/8/26 23:30,22.6
2014/8/27 0:00,22.6
2014/8/27 0:30,22.5
2014/8/27 1:00,22.3
2014/8/27 1:30,22.2
2014/8/27 2:30,22.2
2014/8/27 3:00,22.1
2014/8/27 4:00,22.1
2014/8/27 4:30,22
2014/8/27 5:00,21.9
2014/8/27 5:30,21.8
2014/8/27 6:00,21.7
2014/8/27 6:30,21.7
2014/8/27 7:00,21.6
2014/8/27 7:30,21.6
2014/8/27 8:00,21.5
2014/8/27 8:30,21.5
2014/8/27 9:00,21.5
2014/8/27 9:30,21.5
2014/8/27 10:00,21.4
2014/8/27 10:30,21.4
2014/8/27 11:00,21.4
2014/8/27 11:30,21.4
2014/8/27 12:00,21.4
2014/8/27 12:30,21.4
2014/8/27 13:00,21.4
2014/8/27 13:30,21.4
2014/8/27 14:30,21.4
2014/8/27 15:30,21.5
2014/8/27 16:00,21.6
2014/8/27 16:30,21.6
2014/8/27 17:00,21.7
2014/8/27 17:30,21.8
2014/8/27 18:00,21.8
2014/8/27 18:30,21.9
2014/8/27 19:00,21.9
2014/8/27 19:30,21.9
2014/8/27 20:00,22
2014/8/27 20:30,22
2014/8/27 21:00,22
2014/8/27 21:30,22.1
2014/8/27 22:00,22.1
2014/8/27 22:30,22.2
2014/8/27 23:00,22.8
2014/8/27 23:30,22.8
2014/8/28 0:00,22.8
2014/8/28 0:30,22.8
2014/8/28 1:00,22.7
2014/8/28 1:30,22.4
2014/8/28 2:00,22.2
2014/8/28 2:30,22.1
2014/8/28 3:00,22
2014/8/28 3:30,21.9
2014/8/28 4:00,21.8
2014/8/28 4:30,21.7
2014/8/28 5:00,21.7
2014/8/28 5:30,21.7
2014/8/28 6:30,21.6
2014/8/28 7:00,21.6
2014/8/28 7:30,21.5
2014/8/28 8:00,21.5
2014/8/28 8:30,21.5
2014/8/28 9:00,21.5
2014/8/28 10:00,21.5
2014/8/28 10:30,21.4
2014/8/28 11:00,21.4
2014/8/28 11:30,21.4
2014/8/28 12:00,21.4
2014/8/28 12:30,21.4
2014/8/28 13:00,21.4
2014/8/28 13:30,21.4
2014/8/28 14:00,21.4
2014/8/28 14:30,21.3
2014/8/28 15:30,21.3
2014/8/28 16:00,21.3
2014/8/28 16:30,21.4
2014/8/28 17:00,21.5
2014/8/28 17:30,21.5
2014/8/28 18:00,21.5
2014/8/28 18:30,21.5
2014/8/28 19:00,21.5
2014/8/28 19:30,21.5
2014/8/28 20:00,21.6
2014/8/28 20:30,21.7
2014/8/28 21:00,21.7
2014/8/28 21:30,21.6
2014/8/28 22:30,21.6
2014/8/28 23:00,21.5
2014/8/28 23:30,21.5
2014/8/29 0:00,21.5
2014/8/29 0:30,21.5
2014/8/29 1:00,21.5
2014/8/29 1:30,21.4
2014/8/29 2:00,21.4
2014/8/29 2:30,21.4
2014/8/29 3:00,21.4
2014/8/29 3:30,21.4
2014/8/29 4:00,21.4
2014/8/29 4:30,21.4
2014/8/29 5:30,21.3
2014/8/29 6:00,21.3
2014/8/29 8:00,21.3
2014/8/29 8:30,21.3
2014/8/29 9:30,21.3
2014/8/29 10:00,21.3
2014/8/29 10:30,21.2
2014/8/29 11:30,21.2
2014/8/29 12:00,21.2
2014/8/29 12:30,21.2
2014/8/29 13:00,21.2
2014/8/29 14:30,21.2
2014/8/29 15:30,21.2
2014/8/29 16:00,21.2
2014/8/29 16:30,21.3
2014/8/29 17:00,21.3
2014/8/29 17:30,21.3
2014/8/29 18:00,21.3
2014/8/29 18:30,21.4
2014/8/29 19:00,21.5
2014/8/29 19:30,21.6
2014/8/29 20:00,21.7
2014/8/29 20:30,21.8
2014/8/29 21:00,21.8
2014/8/29 21:30,22.2
2014/8/29 22:00,22.2
2014/8/29 22:30,22.1
2014/8/30 4:00,21.5
2014/8/30 4:30,21.5
2014/8/30 5:00,21.5
2014/8/30 5:30,21.5
2014/8/30 6:30,21.5
2014/8/30 7:00,21.5
2014/8/30 7:30,21.5
2014/8/30 8:00,21.5
2014/8/30 8:30,21.5
2014/8/30 9:00,21.5
2014/8/30 9:30,21.5
2014/8/30 10:00,21.5
2014/8/30 10:30,21.5
2014/8/30 11:00,21.5
2014/8/30 11:30,21.4
2014/8/30 12:00,21.4
2014/8/30 12:30,21.4
2014/8/30 13:00,21.4
2014/8/30 14:00,21.4
2014/8/30 14:30,21.5
2014/8/30 15:00,21.5
2014/8/30 15:30,21.5
2014/8/30 16:00,21.5
2014/8/30 16:30,21.5
2014/8/30 17:00,21.5
2014/8/30 17:30,21.5
2014/8/30 18:00,21.5
2014/8/30 18:30,21.5
2014/8/30 19:00,21.5
2014/8/30 19:30,21.6
2014/8/30 20:00,21.7
2014/8/30 20:30,21.8
2014/8/30 21:00,21.8
2014/8/30 21:30,21.9
2014/8/30 22:30,21.9
2014/8/30 23:00,21.9
2014/8/30 23:30,21.9
2014/8/31 0:00,21.7
2014/8/31 0:30,21.7
2014/8/31 1:00,21.6
2014/8/31 1:30,21.6
2014/8/31 2:00,21.5
2014/8/31 2:30,21.5
2014/8/31 3:00,21.5
2014/8/31 3:30,21.5
2014/8/31 4:00,21.4
2014/8/31 4:30,21.4
2014/8/31 5:00,21.4
2014/8/31 5:30,21.4
2014/8/31 6:00,21.4
2014/8/31 6:30,21.3
2014/8/31 7:00,21.3
2014/8/31 7:30,21.3
2014/8/31 8:00,21.3
2014/8/31 8:30,21.3
2014/8/31 9:00,21.3
2014/8/31 9:30,21.3
2014/8/31 10:00,21.3
2014/8/31 10:30,21.3
2014/8/31 11:00,21.2
2014/8/31 11:30,21.2
2014/8/31 12:00,21.2
2014/8/31 12:30,21.2
2014/8/31 13:00,21.2
2014/8/31 13:30,21.2
2014/8/31 14:30,21.2
2014/8/31 15:00,21.2
2014/8/31 15:30,21.2
2014/8/31 16:00,21.3
2014/8/31 16:30,21.3
