TIME,value
2020/6/9 21:03,1.9
2020/6/9 21:12,2
2020/6/9 21:22,2
2020/6/9 21:32,1.9
2020/6/9 21:42,1.9
2020/6/9 21:52,1.9
2020/6/9 22:03,1.8
2020/6/9 22:12,0.9
2020/6/9 22:22,1.8
2020/6/9 22:32,1.7
2020/6/9 22:42,1.9
2020/6/9 22:52,1.8
2020/6/9 23:03,1.8
2020/6/9 23:12,1.6
2020/6/9 23:22,1.6
2020/6/9 23:32,1.9
2020/6/9 23:42,1.8
2020/6/9 23:52,1.9
2020/6/10 0:04,1.9
2020/6/10 0:12,1.8
2020/6/10 0:22,2
2020/6/10 0:33,2.3
2020/6/10 0:42,2.1
2020/6/10 0:52,2
2020/6/10 1:03,2
2020/6/10 1:12,1.5
2020/6/10 1:22,2
2020/6/10 1:32,2.1
2020/6/10 1:42,2.1
2020/6/10 1:52,2.2
2020/6/10 2:03,1.9
2020/6/10 2:12,2.1
2020/6/10 2:22,1.9
2020/6/10 2:33,2.1
2020/6/10 2:42,2.1
2020/6/10 2:52,2.2
2020/6/10 3:03,2.2
2020/6/10 3:12,2.1
2020/6/10 3:22,2
2020/6/10 3:32,2.3
2020/6/10 3:42,2.3
2020/6/10 3:52,2.2
2020/6/10 4:03,2.2
2020/6/10 4:12,2.3
2020/6/10 4:22,2.2
2020/6/10 4:32,2.3
2020/6/10 4:42,2.3
2020/6/10 4:52,2.3
2020/6/10 5:02,2.3
2020/6/10 5:12,1.9
2020/6/10 5:22,2.1
2020/6/10 5:32,2.2
2020/6/10 5:42,2.2
2020/6/10 5:52,2.2
2020/6/10 6:03,2.1
2020/6/10 6:12,1.9
2020/6/10 6:22,1.8
2020/6/10 6:32,2.1
2020/6/10 6:42,1.4
2020/6/10 6:52,2
2020/6/10 7:03,1.9
2020/6/10 7:12,1.8
2020/6/10 7:22,2
2020/6/10 7:32,1.8
2020/6/10 7:42,1.9
2020/6/10 7:52,1.8
2020/6/10 8:04,1.7
2020/6/10 8:12,1.7
2020/6/10 8:22,1.8
2020/6/10 8:32,1.7
2020/6/10 8:42,1.8
2020/6/10 8:52,1
2020/6/10 9:03,1.8
2020/6/10 9:12,1.2
2020/6/10 9:22,1.3
2020/6/10 9:32,1.7
2020/6/10 9:42,1.6
2020/6/10 9:52,1.8
2020/6/10 10:03,1.8
2020/6/10 10:13,2
2020/6/10 10:22,2.3
2020/6/10 10:33,1.8
2020/6/10 10:42,1.9
2020/6/10 10:52,1.2
2020/6/10 11:03,1.7
2020/6/10 11:12,1.6
2020/6/10 11:22,1.3
2020/6/10 11:32,1.6
2020/6/10 11:42,1.8
2020/6/10 11:52,1.5
2020/6/10 12:03,1.6
2020/6/10 12:12,1.7
2020/6/10 12:22,1.5
2020/6/10 12:32,1.7
2020/6/10 12:42,1.6
2020/6/10 12:52,1.5
2020/6/10 13:03,1.7
2020/6/10 13:12,1.6
2020/6/10 13:22,1.1
2020/6/10 13:32,1.7
2020/6/10 13:42,1.7
2020/6/10 13:52,1.7
2020/6/10 14:03,1.5
2020/6/10 14:12,1.5
2020/6/10 14:22,1.3
2020/6/10 14:32,1.5
2020/6/10 14:42,1.7
2020/6/10 14:52,1.5
2020/6/10 15:03,1.2
2020/6/10 15:12,1.7
2020/6/10 15:22,1.6
2020/6/10 15:32,1.8
2020/6/10 15:42,1.9
2020/6/10 15:52,1.7
2020/6/10 16:04,1.9
2020/6/10 16:12,1.9
2020/6/10 16:22,1.8
2020/6/10 16:32,1.8
2020/6/10 16:42,1.8
2020/6/10 16:52,1.8
2020/6/10 17:03,1.8
2020/6/10 17:12,1.7
2020/6/10 17:22,1.7
2020/6/10 17:32,1.8
2020/6/10 17:42,1.6
2020/6/10 17:52,1.7
2020/6/10 18:03,1.7
2020/6/10 18:12,1.8
2020/6/10 18:22,1.7
2020/6/10 18:32,1.6
2020/6/10 18:42,1.7
2020/6/10 18:52,1.6
2020/6/10 19:03,1.7
2020/6/10 19:12,1.9
2020/6/10 19:22,1.6
2020/6/10 19:32,1.8
2020/6/10 19:42,1.5
2020/6/10 19:52,1.8
2020/6/10 20:03,1.8
2020/6/10 20:12,1.4
2020/6/10 20:23,1.6
2020/6/10 20:32,1.5
2020/6/10 20:42,1.6
2020/6/10 20:52,1.7
2020/6/10 21:03,1.1
2020/6/10 21:12,1.2
2020/6/10 21:22,1.3
2020/6/10 21:32,1.8
2020/6/10 21:42,1.2
2020/6/10 21:52,1.6
2020/6/10 22:03,1.7
2020/6/10 22:12,1.8
2020/6/10 22:22,1.6
2020/6/10 22:32,1.6
2020/6/10 22:42,1.6
2020/6/10 22:52,1.7
2020/6/10 23:03,1.3
2020/6/10 23:12,1.6
2020/6/10 23:22,1.6
2020/6/10 23:32,1.5
2020/6/10 23:42,1.2
2020/6/10 23:52,1.3
2020/6/11 0:04,1.7
2020/6/11 0:12,1.7
2020/6/11 0:22,1.1
2020/6/11 0:32,1.8
2020/6/11 0:42,2
2020/6/11 0:52,2
2020/6/11 1:03,1.8
2020/6/11 1:12,1.8
2020/6/11 1:22,1.4
2020/6/11 1:33,1.8
2020/6/11 1:42,2
2020/6/11 1:52,1.7
2020/6/11 2:03,2
2020/6/11 2:12,2.1
2020/6/11 2:22,1.9
2020/6/11 2:32,1.5
2020/6/11 2:42,1.6
2020/6/11 2:52,2
2020/6/11 3:03,2.1
2020/6/11 3:12,2
2020/6/11 3:22,1.9
2020/6/11 3:32,1.3
2020/6/11 3:42,2
2020/6/11 3:52,1.7
2020/6/11 4:03,2
2020/6/11 4:12,2.1
2020/6/11 4:22,1.9
2020/6/11 4:32,1.8
2020/6/11 4:42,2
2020/6/11 4:52,1.5
2020/6/11 5:03,1.9
2020/6/11 5:12,1.8
2020/6/11 5:22,1.9
2020/6/11 5:32,1.8
2020/6/11 5:42,1.5
2020/6/11 5:52,1.6
2020/6/11 6:03,1.8
2020/6/11 6:12,1.9
2020/6/11 6:22,1.7
2020/6/11 6:32,1.4
2020/6/11 6:42,1.3
2020/6/11 6:52,1.4
2020/6/11 7:03,1.3
2020/6/11 7:12,1.5
2020/6/11 7:22,1.5
2020/6/11 7:32,1.4
2020/6/11 7:42,1.1
2020/6/11 7:52,1.3
2020/6/11 8:04,1.6
2020/6/11 8:12,0.6
2020/6/11 8:22,1.6
2020/6/11 8:32,1.4
2020/6/11 8:42,0.9
2020/6/11 8:52,1.3
2020/6/11 9:03,1.2
2020/6/11 9:12,1.2
2020/6/11 9:22,1.3
2020/6/11 9:32,1.6
2020/6/11 9:42,1.2
2020/6/11 9:52,1.4
2020/6/11 10:03,1.4
2020/6/11 10:12,1.2
2020/6/11 10:22,1.5
2020/6/11 10:32,1.3
2020/6/11 10:42,1.4
2020/6/11 10:52,1.5
2020/6/11 11:03,1.3
2020/6/11 11:12,1.6
2020/6/11 11:22,1.5
2020/6/11 11:32,1.3
2020/6/11 11:42,1.3
